Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_&_Beverages,Inflight_Entertainment,Ground_Service,Wifi_&_Connectivity,Value_For_Money,Recommended
a380800,Couple Leisure,Business Class,Johannesburg to London,January 2020,3.0,4.0,3.0,3.0,3.0,1.0,3,1
boeing 747400,Business,Business Class,San Diego to Stockholm via London,January 2020,5.0,5.0,5.0,3.0,1.0,1.0,3,0
boeing 7879,Business,Business Class,Phoenix to London,January 2020,3.0,5.0,4.0,4.0,3.0,1.0,5,1
boeing 777200,Solo Leisure,Economy Class,London Heathrow to Bangkok,January 2020,2.0,4.0,4.0,1.0,4.0,1.0,2,0
boeing 777200er,Solo Leisure,Economy Class,Mumbai to Boston via London,January 2020,2.0,5.0,5.0,2.0,1.0,1.0,3,1
boeing 787  a320,Solo Leisure,Economy Class,Toronto to Geneva via London,January 2020,4.0,5.0,4.0,3.0,4.0,1.0,3,1
boeing 777300,Solo Leisure,First Class,Hong Kong to London,January 2020,4.0,5.0,5.0,4.0,4.0,1.0,4,1
boeing 787,Business,Economy Class,San Jose to Amsterdam via London,January 2020,1.0,1.0,2.0,3.0,2.0,1.0,3,0
boeing 777,Couple Leisure,Business Class,Singapore to Paris via London,January 2020,3.0,4.0,4.0,4.0,1.0,1.0,2,0
a321neo,Solo Leisure,Economy Class,Warsaw to London,January 2020,5.0,5.0,5.0,3.0,4.0,1.0,5,1
boeing 747400,Family Leisure,Economy Class,New York  to London Heathrow,January 2020,4.0,5.0,3.0,4.0,5.0,1.0,4,1
a380,Couple Leisure,Business Class,London to Johannesburg,January 2020,4.0,4.0,4.0,3.0,4.0,2.0,4,1
boeing 777200  747400,Solo Leisure,Economy Class,Boston to Mumbai via London,December 2019,2.0,5.0,4.0,2.0,1.0,1.0,5,1
a320,Solo Leisure,Business Class,London Gatwick to Glasgow,January 2020,4.0,5.0,4.0,3.0,5.0,1.0,4,1
boeing 7878,Solo Leisure,Business Class,Rio De Janeiro to London Heathrow,December 2019,5.0,5.0,5.0,3.0,4.0,1.0,5,1
a320,Couple Leisure,Business Class,Keflavik to London Heathrow,January 2020,3.0,5.0,5.0,3.0,4.0,1.0,5,1
a380,Couple Leisure,Business Class,London to Hong Kong,December 2019,3.0,4.0,3.0,4.0,1.0,1.0,3,0
boeing 747,Family Leisure,Business Class,Los Angeles to London Heathrow,January 2020,1.0,3.0,2.0,2.0,1.0,1.0,1,0
