Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_&_Beverages,Inflight_Entertainment,Ground_Service,Wifi_&_Connectivity,Value_For_Money,Recommended
boeing 747400,Business,Business Class,Cape Town to London,July 2015,2.0,1.0,2.0,2.0,5.0,1.0,1,0
boeing 777,Business,Business Class,London Heathrow to Tokyo,July 2015,1.0,2.0,4.0,4.0,3.0,1.0,4,0
boeing 767,Business,Business Class,Istambul to London Heathrow,July 2015,5.0,5.0,5.0,3.0,5.0,1.0,5,1
boeing 767,Business,Business Class,London Heathrow to Istanbul,July 2015,5.0,5.0,5.0,3.0,5.0,1.0,5,1
a318,Business,Business Class,London to Faro,July 2015,1.0,1.0,2.0,1.0,2.0,1.0,1,0
boeing 777,Couple Leisure,Business Class,Orlando to London,May 2015,5.0,5.0,4.0,4.0,5.0,1.0,5,1
a319,Business,Economy Class,London to Newcastle,July 2015,1.0,3.0,2.0,3.0,4.0,1.0,2,0
boeing 777300,Solo Leisure,Economy Class,London to Singapire,July 2015,2.0,3.0,3.0,4.0,4.0,1.0,4,0
boeing 777200,Family Leisure,Economy Class,London to Kuala Lumpur,July 2015,4.0,4.0,4.0,3.0,4.0,1.0,4,1
boeing 767airbus a320,Solo Leisure,Premium Economy,London Heathrow to Athens,July 2015,4.0,2.0,4.0,3.0,3.0,1.0,3,1
boeing 747400,Solo Leisure,Economy Class,London Heathrow to Bangkok,July 2015,1.0,2.0,3.0,1.0,1.0,1.0,1,0
boeing 747400,Solo Leisure,Business Class,London Heathrow to Chicago O'Hare,June 2015,5.0,5.0,5.0,3.0,5.0,1.0,5,1
boeing 747,Solo Leisure,Business Class,Vancouver Canada to London,July 2015,2.0,3.0,1.0,1.0,3.0,1.0,2,0
a320,Solo Leisure,Business Class,Tel Aviv to London LHR,December 2014,5.0,5.0,5.0,4.0,5.0,1.0,4,1
boeing 747400,Business,Business Class,London to Singapore,July 2015,1.0,5.0,4.0,1.0,1.0,1.0,3,0
a320,Family Leisure,Business Class,Helsinki to London,June 2015,1.0,5.0,5.0,3.0,5.0,1.0,4,1
boeing 747400,Couple Leisure,Premium Economy,Chicago to Paris via London,May 2015,4.0,5.0,4.0,5.0,3.0,4.0,4,1
boeing 767,Business,Business Class,Istanbul to London,July 2015,1.0,4.0,1.0,1.0,3.0,1.0,1,0
boeing 777,Business,Business Class,Bangkok to London,July 2015,2.0,4.0,3.0,2.0,4.0,1.0,3,0
boeing 767,Business,Business Class,London to Istanbul,July 2015,1.0,3.0,2.0,3.0,1.0,1.0,1,0
boeing 747400,Business,Business Class,Singapore to London,July 2015,1.0,3.0,2.0,3.0,2.0,1.0,2,0
b777300  a319,Solo Leisure,Economy Class,Chicago to Berlin via London Heathrow,June 2015,1.0,2.0,1.0,3.0,1.0,1.0,1,0
a380,Solo Leisure,Economy Class,London to Los Angesles,June 2015,4.0,5.0,3.0,5.0,4.0,4.0,5,1
a319,Solo Leisure,Economy Class,London Gatwick to Glasgow,June 2015,5.0,5.0,3.0,3.0,5.0,1.0,4,1
airbus a380,Couple Leisure,Business Class,London to Johannesburg,May 2015,3.0,2.0,2.0,4.0,3.0,1.0,2,0
boeing 737,Couple Leisure,Economy Class,Naples to London Gatwick,June 2015,3.0,4.0,3.0,3.0,1.0,1.0,1,0
a320,Business,Business Class,Geneva to London,May 2015,2.0,5.0,4.0,4.0,4.0,1.0,4,1
b747400  a319,Solo Leisure,Economy Class,Vancouver to Berlin via London,April 2015,1.0,4.0,3.0,3.0,4.0,1.0,2,0
boeing 787,Solo Leisure,Business Class,Seoul to London,June 2015,4.0,3.0,3.0,4.0,3.0,1.0,3,1
airbus 319,Business,Business Class,Kiev to London,Unknown,3.0,5.0,3.0,4.0,3.0,1.0,4,1
boeing 747400,Business,Business Class,London-Vancouver return,Unknown,4.0,5.0,4.0,3.0,3.0,1.0,5,1
